OVMM,Secteur,Type,Sorte,Longueur,LongueurUnit,Largeur,LargeurUnit,Epaisseur,EpaisseurUnit,Diameter,DiameterUnit,Grade,GradeUnit,Format,Keywords,Couleur,Fabricant,Dure de vie,Commentaires
OVMMAG56649,Air/Gaz,Filtre a air,Tampon Cellule,11,IN (inch),11,IN (inch),1,IN (inch),,,,,Carre,Celldustlock,,,,
OVMMAG56804,Air/Gaz,Filtre a air,Tampon Cellule,12,IN (inch),24,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56770,Air/Gaz,Filtre a air,Tampon Cellule,13,IN (inch),15,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56775,Air/Gaz,Filtre a air,Tampon Cellule,16,IN (inch),20,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56776,Air/Gaz,Filtre a air,Tampon Cellule,16,IN (inch),25,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56785,Air/Gaz,Filtre a air,Tampon Cellule,20,IN (inch),22,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56778,Air/Gaz,Filtre a air,Tampon Cellule,20,IN (inch),20,IN (inch),1,IN (inch),,,,,Carre,Celldustlock,,,,
OVMMAG56780,Air/Gaz,Filtre a air,Tampon Cellule,25,IN (inch),20,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56835,Air/Gaz,Filtre a air,Tampon Cellule,25,IN (inch),40,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56650,Air/Gaz,Filtre a air,Tampon Cellule,29,IN (inch),,,,,,,,,,,,,,
OVMMAG56781,Air/Gaz,Filtre a air,Tampon Cellule,30,IN (inch),27,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56805,Air/Gaz,Filtre a air,Tampon Cellule,39,IN (inch),,,,,,,,,,,,,,
OVMMAG56802,Air/Gaz,Filtre a air,Tampon Cellule,48,IN (inch),30,IN (inch),,,,,,,,,,,,
OVMMAG56792,Air/Gaz,Filtre a air,Tampon Cellule,70,IN (inch),30,IN (inch),,,,,,,,,,,,
OVMMAG56651,Air/Gaz,Filtre a air,Tampon Cellule,8,IN (inch),8,IN (inch),,,,,,,Carre,,,,,
OVMMAG58034,Air/Gaz,Filtre a air,Tampon Cellule,24,IN (inch),24,IN (inch),1,IN (inch),,,,,Carre,Celldustlock,,ABRASICORP,,
OVMMAG58077,Air/Gaz,Filtre a air,Tampon Cellule,19,IN (inch),19,IN (inch),1,IN (inch),,,,,Carre,Celldustlock,,FIBREBOND DFM 4,,
OVMMAG56648,Air/Gaz,Filtre a air,Tampon,10,IN (inch),,,,,,,,,,,,,,
OVMMAG56800,Air/Gaz,Filtre a air,Tampon,10,IN (inch),,,,,,,,,,,,,,
OVMMAG56803,Air/Gaz,Filtre a air,Tampon,10,IN (inch),14,IN (inch),1,IN (inch),,,,,Tube,Dual-Ply,,,,
OVMMAG56765,Air/Gaz,Filtre a air,Tampon,10,IN (inch),,,,,,,,,,,,,,
OVMMAG56767,Air/Gaz,Filtre a air,Tampon,11,IN (inch),,,,,,,,,,,,,,
OVMMAG56766,Air/Gaz,Filtre a air,Tampon,,,,,1,IN (inch),11,IN (inch),,,Rond,Dual-Ply,,,,
OVMMAG56647,Air/Gaz,Filtre a air,Tampon,12,IN (inch),,,,,,,,,,,,,,
OVMMAG56768,Air/Gaz,Filtre a air,Tampon,12,IN (inch),12,IN (inch),1,IN (inch),,,,,Carre,Dual-Ply,,,,
OVMMAG56769,Air/Gaz,Filtre a air,Tampon,13,IN (inch),,,,,,,,,,,,,,
OVMMAG56639,Air/Gaz,Filtre a air,Tampon,13,IN (inch),21,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56771,Air/Gaz,Filtre a air,Tampon,13,IN (inch),29,IN (inch),,,,,,,,,,,,
OVMMAG56773,Air/Gaz,Filtre a air,Tampon,14,IN (inch),16,IN (inch),,,,,,,,,,,,
OVMMAG56774,Air/Gaz,Filtre a air,Tampon,15,IN (inch),21,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56801,Air/Gaz,Filtre a air,Tampon,21,IN (inch),,,,,,,,,,,,,,
OVMMAG56779,Air/Gaz,Filtre a air,Tampon,23,IN (inch),,,,,,,,,,,,,,
OVMMAG56808,Air/Gaz,Filtre a air,Tampon,25,IN (inch),9,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois ,
OVMMAG56812,Air/Gaz,Filtre a air,Tampon,25,IN (inch),32,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56653,Air/Gaz,Filtre a air,Tampon,28,IN (inch),7,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG56655,Air/Gaz,Filtre a air,Tampon,29,IN (inch),8,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG56658,Air/Gaz,Filtre a air,Tampon,29,IN (inch),47,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56783,Air/Gaz,Filtre a air,Tampon,30,IN (inch),37,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
